dog,condition,choice,test_trial_number,latency,prop_lt_baited_pause,prop_lt_empty_pause,prop_lt_baited_sugg,"first_trial_fam (1=yes, followed communicator)",first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,parker_group,communicator,hider,notes
Quainty,TrueBelief,baited,7,1.9,0,0,0.206946454,1,displacement,blue,7,f,collie,1,uk_rural,LL,GPL,
Aila2,TrueBelief,baited,7,1.21666667,0,0.64044944,0.045454546,1,displacement,brown,2,f,white_swiss_shepherd,1,new_world,LL,GPL,
Ookami,FalseBelief,baited,7,1.4,0,0,0,1,displacement,blue,3,m,white_swiss_shepherd,1,new_world,LL,GPL,
Gryffindor,TrueBelief,baited,7,15.56666663,0,0,0,1,no_displacement,brown,1,m,border_collie,1,uk_rural,LL,GPL,
Akela,FalseBelief,baited,9,2.08333334,0,0,0,1,displacement,blue,2,m,australian_shepherd,1,uk_rural,LL,GPL,
Finlay2,FalseBelief,baited,7,2.96666666,0,0,0,1,no_displacement,brown,5,m,golden_retriever,8,retriever,LL,GPL,
Argo,FalseBelief,baited,7,60.1,0,0,0.050078247,1,displacement,blue,1,m,swiss_hound,6,scent_hound,LL,GPL,
Grey,TrueBelief,baited,7,2.1,0,0,0,1,displacement,blue,1,f,labrador,8,retriever,LL,LB,
Benny,FalseBelief,empty,9,1.58333333,0,0,0.028443114,1,no_displacement,brown,5,m,border_collie,1,uk_rural,LL,LB,
Achuk,FalseBelief,baited,7,1.45,0.4,0,0.015974441,1,no_displacement,brown,14,f,chesapeake_bay_retriever,8,retriever,LL,GPL,
Elrond,FalseBelief,empty,7,1.25,0.795275591,0,0.268635724,1,displacement,blue,10,m,chesapeake_bay_retriever,8,retriever,LL,GPL,
Bilbo,TrueBelief,empty,7,0.96666666,0.750000003,0,0.151745069,1,no_displacement,brown,2,m,chesapeake_bay_retriever,8,retriever,LL,GPL,
Snoopy4,TrueBelief,baited,7,1.21666667,0.194630871,0,0.186567164,1,no_displacement,blue,6,m,australian_shepherd,1,uk_rural,LL,GPL,
Siri,TrueBelief,empty,7,1.3,0,0,0.046407186,1,no_displacement,blue,3,f,border_collie,1,uk_rural,LL,GPL,
Luna,TrueBelief,baited,7,2.28333333,0.140845073,0.056338027,0.069018406,1,no_displacement,blue,0.83,f,australian_shepherd,1,uk_rural,LL,GPL,
Pascha1,FalseBelief,empty,7,1.48333333,0,0,0.052098408,1,displacement,brown,10,m,german_shepherd,1,new_world,LL,GPL,
Paschi,FalseBelief,baited,9,1.35,0.881889763,0,0.086750789,1,displacement,blue,3,m,collie,1,uk_rural,LL,EPA,
Elly,TrueBelief,empty,9,1.31666667,0,0,0.037037037,1,displacement,brown,9,f,border_collie,1,uk_rural,LL,AH,
Gin,TrueBelief,empty,7,2.43333333,0,0,0.032010244,1,no_displacement,blue,0.42,f,german_shepherd,1,new_world,LL,EPA,
Arkani,TrueBelief,empty,11,4.41666667,1,0,0.018272425,1,displacement,brown,5,m,belgian_shepherd,1,continental_herder,LL,EPA,
Giulietta,FalseBelief,baited,7,2.08333333,1,0,0.255514706,1,displacement,brown,3,f,white_swiss_shepherd,1,new_world,LL,AH,
Emily,TrueBelief,baited,7,1.56666667,0.267080747,0,0,1,no_displacement,brown,11,f,border_collie,1,uk_rural,LL,GPL,
Juna,FalseBelief,empty,11,2.5,0,0,0,1,no_displacement,brown,4,f,flat_coated_retriever,8,retriever,LL,GPL,
Vega,FalseBelief,empty,7,1.98333333,0,0.089887645,0.096534654,1,displacement,blue,0.67,f,border_collie,1,uk_rural,LL,GPL,
Anubis2,FalseBelief,baited,9,1.56666667,0,0,0,1,displacement,blue,6,m,belgian_shepherd,1,continental_herder,LL,GPL,
Aruba,FalseBelief,empty,7,1.75,0,0,0.128935532,1,no_displacement,brown,7,f,border_collie,1,uk_rural,LL,GPL,
Baxi,TrueBelief,baited,9,1.9333333,0,0,0.122058823,1,no_displacement,brown,11,f,labrador,8,retriever,LL,GPL,
Amy16b,FalseBelief,baited,7,1.7,0,0,0,1,no_displacement,blue,7,f,australian_shepherd,1,uk_rural,LL,GPL,
Sepp,TrueBelief,baited,7,3.7,0,0,0.13095238,1,displacement,brown,7,m,beagle,6,scent_hound,LL,GPL,
Riu,FalseBelief,empty,10,1.78333333,0,0,0.066765579,1,displacement,blue,2,f,australian_shepherd,1,uk_rural,LL,SV,
Future Dream,FalseBelief,baited,7,2.55,0,0,0.083815029,1,displacement,brown,4,f,border_collie,1,uk_rural,LL,SV,
Romeo,TrueBelief,baited,7,14.6,0,0,0.163447252,1,no_displacement,brown,7,m,vizsla,7,pointer_setter,LL,SV,
Monty2,TrueBelief,empty,9,2.16666667,0,0.239999998,0.224340176,1,no_displacement,blue,10,m,border_collie,1,uk_rural,LL,SV,
Rocket,TrueBelief,baited,7,1.56666666,0.405660378,0,0.067448681,1,no_displacement,brown,1,m,saluki,10,mediterranean,LL,GP,
Luna22,FalseBelief,baited,7,25.61666666,0,0,0.090780142,1,no_displacement,brown,4,f,border_collieXborder_colliexwhite_swiss_shepherd,1,uk_rural,LL,GP,
Coco3,FalseBelief,baited,7,1.86666667,0,0,0.161147903,1,no_displacement,brown,4,f,siberian_husky,5,asian_spitz,LL,GP,
Kex,TrueBelief,empty,9,2.51666667,0,0,0,0,displacement,blue,7,m,labrador,8,retriever,LL,GP,sausages
Zookie,TrueBelief,empty,7,1.36666667,0,0,0.062121213,1,no_displacement,blue,4,f,parson_russel_terrier,3,terrier,LL,GP,
Finley,TrueBelief,baited,7,1.4,0,0,0.06741573,1,displacement,brown,2,m,shetland_sheep_dog,1,uk_rural,LL,GP,
Blue5,TrueBelief,empty,9,0.96666667,0,0,0,1,displacement,brown,6,f,australian_shepherd,1,uk_rural,LL,SV,
Fibi6,FalseBelief,empty,7,2.71666667,0,0,0,1,no_displacement,blue,6,f,shetland_sheep_dog,1,uk_rural,LL,SV,
Max,TrueBelief,baited,7,1.2,0,0,0.163380281,1,no_displacement,brown,5,m,german_shepherd,1,new_world,LL,SV,
Prim,TrueBelief,empty,7,1.38333333,0,0,0.033527697,1,no_displacement,blue,4,f,shetland_sheep_dog,1,uk_rural,LL,SV,
Nelson,FalseBelief,empty,7,1.9,0,0,0,1,no_displacement,brown,5,m,labrador,8,retriever,LL,SV,sausages
Lucy12,FalseBelief,empty,9,1.36666666,0,0,0,1,displacement,brown,1,f,labrador,8,retriever,LL,SV,
Emma10,FalseBelief,empty,9,1.45,0,0,0,1,displacement,blue,4,f,labrador,8,retriever,LL,SV,
Travis,TrueBelief,baited,7,2.316666667,1,0,0,1,no_displacement,blue,5,m,siberian_husky,5,asian_spitz,LL,SV,
Magic2,FalseBelief,empty,7,1.35,0,0,0.041841004,1,no_displacement,brown,4,m,shetland_sheep_dog,1,uk_rural,LL,SV,
Holly6,FalseBelief,baited,7,1.066666667,0,0,0.017595308,1,no_displacement,blue,3,f,beagle,6,scent_hound,LL,GPL,
Mozart2,FalseBelief,baited,7,1.85,0,0,0.006738544,1,no_displacement,blue,5,m,fox_terrier,3,terrier,LL,GP,
Damon,FalseBelief,empty,9,1.9,0,0,0.094151213,1,no_displacement,blue,10,m,whippet,10,uk_rural,LL,GPL,
Nala9,FalseBelief,baited,7,1.983333333,0,0,0.01488498,1,displacement,blue,5,f,border_collie,1,uk_rural,LL,SV,
Bella6,TrueBelief,baited,7,1.133333333,0,0.051282051,0,1,displacement,blue,2,f,australian_shepherd,1,uk_rural,LL,SV,
Chelsea,TrueBelief,baited,7,1.816666667,0.338235294,0.375,0.05377907,1,displacement,brown,12,f,labrador,8,retriever,LL,SV,
Rhya,TrueBelief,baited,11,5.483333333,0,0,0,0,displacement,brown,7,f,golden_retriever,8,retriever,LL,SV,sausages
Milo6,TrueBelief,baited,7,99.21666667,0,0,0.078717201,1,no_displacement,blue,4,m,golden_retriever,8,retriever,LL,SV,sausages; problematic dog. Choices during familiarisation were not clear
Candy7,FalseBelief,empty,7,2.566666667,0,0,0,1,displacement,brown,1,f,airedale_terrier,3,terrier,LL,SV,sausages
Nana2,TrueBelief,baited,7,1.11666666,0,0,0,1,displacement,brown,9,f,shetland_sheep_dog,1,uk_rural,LL,GP,
Finchen,TrueBelief,empty,7,1.73333333,0,0,0,1,displacement,blue,7,f,shetland_sheep_dog,1,uk_rural,LL,GP,
Mo2,FalseBelief,baited,7,1.65,0.678899085,0,0.202160493,1,no_displacement,brown,1,m,border_collie,1,uk_rural,LL,GP,
Destiny1,TrueBelief,empty,7,2.11666666,0,0.293478262,0.102816902,1,no_displacement,blue,7,f,coonhound,6,scent_hound,LL,SV,own food
Lea3,FalseBelief,baited,7,1.38333333,0,0,0,1,displacement,brown,5,f,parson_russel_terrier,3,terrier,LL,SV,
Henry2,TrueBelief,baited,9,1.95,0,0.872340425,0,1,displacement,blue,5,m,irish_setter,7,pointer_setter,LL,SV,own food
Mala2,FalseBelief,empty,7,1.28333334,0,0,0,1,no_displacement,blue,4,f,vizsla,7,pointer_setter,LL,SV,
Lori,TrueBelief,empty,7,1.35,0,0.28985507,0.021489971,1,no_displacement,brown,2,f,australian_shepherd,1,uk_rural,LL,SV,
Tara 2,FalseBelief,empty,9,1.08333333,0,0,0,1,displacement,brown,5,f,australian_shepherd,1,uk_rural,LL,SV,
SukaSevilla,TrueBelief,baited,7,2.5,1,0,0.09039548,1,displacement,blue,10,f,spanish_greyhound,10,uk_rural,LL,SV,own food
Leia,FalseBelief,empty,7,2,0,0,0,1,no_displacement,brown,8,f,beagle,6,scent_hound,LL,SV,sausages
Oskar2,FalseBelief,baited,7,1.36666667,0.129032259,0,0.117052023,1,displacement,brown,7,m,vizsla,7,pointer_setter,LL,SV,sausages
Aramis5,TrueBelief,baited,7,1.25,0,0,0.040730337,1,displacement,blue,7,m,giant_schnauzer,2,drover,LL,SV,
Casull,TrueBelief,baited,7,1.7,0,0,0,1,displacement,brown,5,m,weimaraner,7,pointer_setter,LL,GP,
Jeffry,FalseBelief,empty,9,3.15,0,0,0.037396122,1,no_displacement,blue,0.83,m,weimaraner,7,pointer_setter,LL,GP,
Cassiopeia,FalseBelief,baited,7,2.1,0,0,0,0,no_displacement,blue,10,f,saluki,10,mediterranean,LL,GP,
Anouk,FalseBelief,baited,9,2.71666667,0,0,0.203282828,1,displacement,blue,9,f,saluki,10,mediterranean,LL,GP,sausages
Daisy4,TrueBelief,baited,7,1.93333333,0,0,0,1,displacement,brown,4,f,vizsla,7,pointer_setter,LL,GP,
Hugo3,FalseBelief,baited,7,20.71666667,0,0.453781513,0,1,no_displacement,brown,11,m,bernese_mountain_dog,2,alpine,LL,JK,
Amelie,TrueBelief,baited,10,4.55,0,1,0.135570471,0,no_displacement,blue,8,f,bullmastiff,2,european_mastiff,LL,JK,sausages
Reese,FalseBelief,baited,7,1.6,0,0,0,1,no_displacement,blue,10,f,german_shepherd,1,new_world,LL,JK,
Milow4,FalseBelief,empty,7,4.48333333,0,0,0,1,displacement,blue,1,m,irish_setter,7,pointer_setter,LL,JK,
Ziva2,TrueBelief,empty,7,2.21666667,0,0.139344261,0,1,displacement,blue,9,f,samoyed,5,asian_spitz,LL,SV,
Amina,FalseBelief,empty,7,4.93333333,0,0,0,1,displacement,brown,1,f,rhodesian_ridgeback,6,european_mastiff,LL,SV,
Zoe5,TrueBelief,empty,7,1.4,0.186440679,0.313559323,0.032345013,1,no_displacement,brown,2,f,rhodesian_ridgeback,6,european_mastiff,LL,SV,sausages
Lucy14,TrueBelief,baited,7,6.38333333,NA,NA,0.050314465,1,displacement,brown,1,f,beagle,6,scent_hound,SV,LL,
Chomsky,FalseBelief,empty,7,1.15,0,0,0,1,no_displacement,brown,4,m,rottweiler,2,drover,SV,LL,
Luna25,FalseBelief,empty,7,1.81666666,0,0,0.025125628,1,displacement,brown,2,f,mix_appenzellerxbernese_mountain_dog,2,alpine,SV,LL,
Enzo,TrueBelief,baited,7,2.21666667,0,0,0.082582583,1,displacement,brown,11,m,golden_retriever,8,retriever,SV,LL,
Soleil,FalseBelief,baited,9,1.61666666,0.372340429,0,0.10960961,1,no_displacement,blue,2,f,white_swiss_shepherd,1,new_world,SV,LL,
Odessa,TrueBelief,empty,9,1.63333333,0,0,0,1,displacement,brown,4,f,white_swiss_shepherd,1,new_world,SV,LL,
Dolly,TrueBelief,baited,7,1.66666667,0.260869565,0,0.056872038,1,no_displacement,blue,9,f,white_swiss_shepherd,1,new_world,SV,LL,
Maybe,FalseBelief,baited,7,1.25,0.132530125,0,0.09090909,1,displacement,blue,2,f,parson_russel_terrier,3,terrier,SV,LL,
Zuri,FalseBelief,baited,7,2.73333334,0,0,0,1,displacement,blue,10,f,rhodesian_ridgeback,6,european_mastiff,SV,LL,
Akin,TrueBelief,baited,9,1.36666667,1,0,0.109375,1,no_displacement,blue,11,m,rhodesian_ridgeback,6,european_mastiff,SV,LL,
Ayla,TrueBelief,baited,7,2.76666667,0.016528924,0,0,1,displacement,blue,7,f,rhodesian_ridgeback,6,european_mastiff,LL,JK,
Mischa2,FalseBelief,empty,7,3.48333333,0,0,0.076723017,1,displacement,brown,0.42,m,borzoi,10,uk_rural,LL,JK,
Akito,TrueBelief,empty,7,1.55,0,0,0.035573123,1,displacement,brown,7,m,rhodesian_ridgeback,6,european_mastiff,LL,JK,
Thaya,TrueBelief,baited,7,2,0,1,0,1,displacement,blue,9,f,whippet,10,uk_rural,LL,JK,
Mika2,FalseBelief,empty,7,2.78333333,0,0,0,1,displacement,brown,6,f,whippet,10,uk_rural,LL,JK,
Linus4,TrueBelief,baited,7,1.43333333,0,0,0,1,no_displacement,blue,9,m,flat_coated_retriever,8,retriever,JK,LL,
GrafAidan,FalseBelief,empty,7,1.91666666,0,0,0,1,no_displacement,brown,6,m,irish_setter,7,pointer_setter,JK,LL,
Leilani,TrueBelief,baited,7,3.5,0,0,0.019633508,1,no_displacement,blue,14,f,golden_retriever,8,retriever,JK,LL,
Amy18,FalseBelief,baited,7,2.01666667,0,0,0.03125,1,no_displacement,blue,6,f,labrador,8,retriever,JK,LL,
Frisko,FalseBelief,baited,7,4.21666666,0,0,0,1,no_displacement,blue,3,m,hovawart,2,unknown_alpine,JK,LL,
Duke3,TrueBelief,baited,7,2.05,0,0.073770492,0,1,no_displacement,blue,8,m,hovawart,2,unknown_alpine,JK,LL,
Bruno2,TrueBelief,baited,9,0.9,0,0,0,1,displacement,blue,5,m,beagle,6,scent_hound,JK,LL,
Teddy1,TrueBelief,baited,7,16.41666663,0,0,0.011673152,1,displacement,blue,5,m,bernese_mountain_dog,2,alpine,JK,LL,
Akima,FalseBelief,baited,9,1.61666666,0,0,0,1,displacement,blue,4,f,siberian_husky,5,asian_spitz,JK,LL,
Hayley,TrueBelief,baited,7,3.75,0,0,0,1,displacement,brown,5,f,siberian_husky,5,asian_spitz,JK,LL,sausages
Buddy7,TrueBelief,baited,7,4.31666666,0.096491226,0.605263158,0.111428571,1,no_displacement,brown,0.5,m,bernese_mountain_dog,2,alpine,JK,LL,
Brandy,FalseBelief,baited,7,1.86666667,0,0.358695653,0.152567976,1,no_displacement,brown,9,f,bernese_mountain_dog,2,alpine,JK,LL,
Larry,FalseBelief,baited,7,2.56666667,0,0,0,1,displacement,blue,9,m,irish_setter,7,pointer_setter,JK,LL,sausages
Cooper4,FalseBelief,empty,9,1.76666667,0,0,0,1,displacement,blue,2,m,hovawart,2,unknown_alpine,JK,LL,sausages
Katica,FalseBelief,empty,7,2.1,0,0,0,1,no_displacement,brown,10,f,hungarian_greyhound,10,uk_rural,JK,LL,
Xsarah,FalseBelief,baited,7,2.08333334,0,0.551401874,0.038681948,1,no_displacement,brown,8,f,hovawart,2,unknown_alpine,JK,LL,
Uzuri,TrueBelief,baited,7,0.86666667,0.118644072,0,0.186011904,1,no_displacement,brown,4,f,hovawart,2,unknown_alpine,JK,LL,
Hera,TrueBelief,baited,7,1.56666666,0,0,0,1,no_displacement,blue,2,f,rottweiler,2,drover,JK,LL,
Ava,TrueBelief,baited,9,1.66666667,0,0.435714288,0.214592275,1,no_displacement,brown,1,f,irish_setter,7,pointer_setter,BM,JK,
Roxy5,TrueBelief,baited,7,1.58333333,0.317241377,0.110344829,0.15797546,1,no_displacement,blue,5,f,irish_setter,7,pointer_setter,BM,JK,
Aramis6,TrueBelief,baited,7,1.18333334,0,0.421428569,0.319018405,1,displacement,brown,5,m,english_setter,7,pointer_setter,BM,JK,mantrailing
Resi,FalseBelief,empty,7,1.9,0,0,0.164723032,1,no_displacement,brown,1,f,english_setter,7,pointer_setter,BM,JK,deaf; mantrailing; search-nose work
Butch,FalseBelief,empty,9,3.31666666,0,0.410526317,0,1,no_displacement,brown,1,m,boxer,2,european_mastiff,JK,LL,
Ame,TrueBelief,baited,7,2.06666666,0,0,0.042134831,1,no_displacement,brown,4,m,akita_inu,5,asian_spitz,JK,LL,
Kiani,TrueBelief,empty,7,1.93333333,0,0,0.018300654,1,displacement,brown,2,f,whippet,10,uk_rural,JK,LL,
Esti,TrueBelief,baited,7,1.316666667,0.83,0,0.182160804,1,no_displacement,blue,6,f,hungarian_greyhound,10,uk_rural,AH,SV,
Grisu2,FalseBelief,baited,7,1.533333333,0,0,0.058603491,1,displacement,blue,1,m,vizsla,7,pointer_setter,AH,SV,
Anouk4,FalseBelief,empty,7,10.05,0.077669903,0,0.102325581,1,displacement,blue,6,f,hovawart,2,unknown_alpine,BM,SV,
Nora3,FalseBelief,baited,9,1.1,0,0,0.063467492,1,no_displacement,brown,5,f,weimaraner,7,pointer_setter,BM,AH,
Pepper2,TrueBelief,empty,7,1.733333333,0.11814346,0.075949367,0,1,no_displacement,blue,1,f,irish_terrier,3,terrier,AH,SV,
Canyon,TrueBelief,baited,9,1.55,0.140703518,0,0.098550725,1,displacement,blue,5,m,bernese_mountain_dog,2,alpine,AH,SV,
Mimi5,TrueBelief,empty,7,0.966666667,0.5,0,0.061120543,1,displacement,brown,9,f,parson_russel_terrier,3,terrier,BM,AH,
Gulliver,FalseBelief,baited,8,1.933333333,0,0,0,1,displacement,brown,6,m,hovawart,2,unknown_alpine,AH,SV,test repeated because the first time dog refused to choose
Dora2,TrueBelief,baited,7,1.083333333,0,0,0.058536585,1,displacement,brown,8,f,hovawart,2,unknown_alpine,BM,AH,
Helsa,TrueBelief,empty,7,1.633333333,0,0,0.163904236,1,displacement,blue,1,f,hovawart,2,unknown_alpine,BM,AH,
Odin3,FalseBelief,empty,11,2.183333333,0,0,0.211890244,1,displacement,blue,7,m,doberman,2,drover,AH,SV,
Chivas,FalseBelief,baited,7,1.95,0,0,0,1,no_displacement,blue,5,m,siberian_husky,5,asian_spitz,BM,LL,sausages
Smoke,FalseBelief,empty,7,2.6,0,0,0.050570962,1,no_displacement,blue,8,m,siberian_husky,5,asian_spitz,BM,LL,sausages
Angelo2,FalseBelief,empty,7,2.883333333,0,0,0.082491582,1,displacement,blue,7,m,siberian_husky,5,asian_spitz,BM,LL,sausages
Saari,TrueBelief,empty,7,2.533333333,0,0,0,1,displacement,brown,9,f,siberian_husky,5,asian_spitz,BM,LL,sausages
Quinny2,TrueBelief,empty,9,2.766666667,0.650273224,0,0,1,no_displacement,brown,2,f,whippet,10,uk_rural,AH,SV,
Paddy,TrueBelief,baited,7,2.083333333,0.11971831,0,0.319508449,1,no_displacement,blue,3,m,irish_setter,7,pointer_setter,AH,SV,
Woody2,TrueBelief,baited,7,26.25,0,0,0.1875,1,displacement,blue,1,m,irish_setter,7,pointer_setter,AH,SV,
Luzi2,FalseBelief,baited,7,2.566666667,0,0.073619632,0.153733529,1,displacement,blue,5,f,spanish_greyhound,10,uk_rural,AH,SV,
Ravenna,FalseBelief,baited,7,1.15,0,0,0.251931994,1,no_displacement,brown,3,f,american_staffordshire_terrier,3,european_mastiff,AH,SV,
Pandora2,FalseBelief,baited,7,1.133333333,0.151515152,0,0.025454545,1,no_displacement,brown,2,f,american_staffordshire_terrier,3,european_mastiff,SV,AH,
Arriva,FalseBelief,empty,9,8.583333333,0,0,0.0928,1,displacement,brown,3,f,giant_schnauzer,2,drover,SV,AH,sausages
Drogo,TrueBelief,baited,7,16.15,0.277777778,0,0.183908046,1,no_displacement,brown,2,m,rottweiler,2,drover,SV,AH,
FallingSpock,TrueBelief,empty,8,1.133333333,0,0,0.03125,1,no_displacement,blue,2,m,bull_terrier,3,european_mastiff,SV,AH,
